Transaction ID,Customer ID,Category,Item,Price Per Unit,Quantity,Total Spent,Payment Method,Location,Transaction Date,Discount Applied,Año,Mes,AñoMes,Canal,Ingreso Validado,Origen Precio,Origen Artículo,Estado Calidad
TXN_3954012,CUST_02,Furniture,Item_6_FUR,12.5,,,Credit Card,In-store,2024-05-29,Desconocido,2024,5,2024-05,In-store,,Original,Inferido: categoría + precio único,Importe/cantidad no recuperable
TXN_3537865,CUST_21,Milk Products,Item_19_MILK,32.0,,,Credit Card,Online,2022-11-06,Sí,2022,11,2022-11,Online,,Original,Inferido: categoría + precio único,Importe/cantidad no recuperable
TXN_3745490,CUST_01,Computers and electric accessories,Item_6_CEA,12.5,,,Credit Card,Online,2023-09-04,Sí,2023,9,2023-09,Online,,Original,Inferido: categoría + precio único,Importe/cantidad no recuperable
TXN_8433240,CUST_01,Milk Products,Item_16_MILK,27.5,,,Cash,In-store,2024-03-28,Sí,2024,3,2024-03,In-store,,Original,Inferido: categoría + precio único,Importe/cantidad no recuperable
TXN_4056456,CUST_08,Electric household essentials,Item_4_EHE,9.5,,,Digital Wallet,Online,2022-05-23,No,2022,5,2022-05,Online,,Original,Inferido: categoría + precio único,Importe/cantidad no recuperable
TXN_8531399,CUST_18,Patisserie,Item_11_PAT,20.0,,,Cash,Online,2024-12-05,Sí,2024,12,2024-12,Online,,Original,Inferido: categoría + precio único,Importe/cantidad no recuperable
TXN_4245105,CUST_08,Milk Products,Item_19_MILK,32.0,,,Cash,In-store,2025-01-09,No,2025,1,2025-01,In-store,,Original,Inferido: categoría + precio único,Importe/cantidad no recuperable
TXN_2026101,CUST_10,Patisserie,Item_14_PAT,24.5,,,Cash,In-store,2023-05-14,Desconocido,2023,5,2023-05,In-store,,Original,Inferido: categoría + precio único,Importe/cantidad no recuperable
TXN_7673556,CUST_10,Milk Products,Item_16_MILK,27.5,,,Cash,In-store,2024-01-07,Sí,2024,1,2024-01,In-store,,Original,Inferido: categoría + precio único,Importe/cantidad no recuperable
TXN_8084251,CUST_16,Electric household essentials,Item_15_EHE,26.0,,,Digital Wallet,In-store,2024-01-03,Desconocido,2024,1,2024-01,In-store,,Original,Inferido: categoría + precio único,Importe/cantidad no recuperable
TXN_8794900,CUST_18,Computers and electric accessories,Item_19_CEA,32.0,,,Cash,In-store,2022-11-19,No,2022,11,2022-11,In-store,,Original,Inferido: categoría + precio único,Importe/cantidad no recuperable
TXN_5742371,CUST_18,Food,Item_4_FOOD,9.5,,,Credit Card,In-store,2023-04-25,Sí,2023,4,2023-04,In-store,,Original,Inferido: categoría + precio único,Importe/cantidad no recuperable
TXN_2584277,CUST_23,Electric household essentials,Item_20_EHE,33.5,,,Cash,In-store,2024-04-17,Sí,2024,4,2024-04,In-store,,Original,Inferido: categoría + precio único,Importe/cantidad no recuperable
TXN_2736863,CUST_13,Milk Products,Item_23_MILK,38.0,,,Digital Wallet,Online,2024-08-10,Sí,2024,8,2024-08,Online,,Original,Inferido: categoría + precio único,Importe/cantidad no recuperable
TXN_1985138,CUST_12,Patisserie,Item_5_PAT,11.0,,,Digital Wallet,In-store,2023-01-31,No,2023,1,2023-01,In-store,,Original,Inferido: categoría + precio único,Importe/cantidad no recuperable
TXN_7663942,CUST_02,Milk Products,Item_7_MILK,14.0,,,Cash,In-store,2023-02-28,Sí,2023,2,2023-02,In-store,,Original,Inferido: categoría + precio único,Importe/cantidad no recuperable
TXN_2384950,CUST_08,Computers and electric accessories,Item_9_CEA,17.0,,,Digital Wallet,Online,2023-01-11,No,2023,1,2023-01,Online,,Original,Inferido: categoría + precio único,Importe/cantidad no recuperable
TXN_3047170,CUST_15,Furniture,Item_4_FUR,9.5,,,Cash,Online,2025-01-16,Sí,2025,1,2025-01,Online,,Original,Inferido: categoría + precio único,Importe/cantidad no recuperable
TXN_6901057,CUST_16,Beverages,Item_3_BEV,8.0,,,Credit Card,Online,2024-08-31,Desconocido,2024,8,2024-08,Online,,Original,Inferido: categoría + precio único,Importe/cantidad no recuperable
TXN_8293398,CUST_19,Patisserie,Item_11_PAT,20.0,,,Cash,Online,2024-03-29,No,2024,3,2024-03,Online,,Original,Inferido: categoría + precio único,Importe/cantidad no recuperable
TXN_4877812,CUST_01,Furniture,Item_24_FUR,39.5,,,Credit Card,In-store,2024-02-15,Desconocido,2024,2,2024-02,In-store,,Original,Inferido: categoría + precio único,Importe/cantidad no recuperable
TXN_2826965,CUST_06,Computers and electric accessories,Item_14_CEA,24.5,,,Credit Card,Online,2022-09-12,Sí,2022,9,2022-09,Online,,Original,Inferido: categoría + precio único,Importe/cantidad no recuperable
TXN_1433054,CUST_13,Butchers,Item_12_BUT,21.5,,,Cash,Online,2023-01-25,Sí,2023,1,2023-01,Online,,Original,Inferido: categoría + precio único,Importe/cantidad no recuperable
TXN_9676475,CUST_19,Computers and electric accessories,Item_2_CEA,6.5,,,Digital Wallet,In-store,2025-01-17,Desconocido,2025,1,2025-01,In-store,,Original,Inferido: categoría + precio único,Importe/cantidad no recuperable
TXN_4201299,CUST_09,Food,Item_4_FOOD,9.5,,,Cash,Online,2023-02-16,No,2023,2,2023-02,Online,,Original,Inferido: categoría + precio único,Importe/cantidad no recuperable
TXN_3330661,CUST_19,Butchers,Item_12_BUT,21.5,,,Digital Wallet,In-store,2022-01-09,Sí,2022,1,2022-01,In-store,,Original,Inferido: categoría + precio único,Importe/cantidad no recuperable
TXN_6880511,CUST_20,Butchers,Item_4_BUT,9.5,,,Credit Card,In-store,2023-03-04,No,2023,3,2023-03,In-store,,Original,Inferido: categoría + precio único,Importe/cantidad no recuperable
TXN_5763933,CUST_07,Patisserie,Item_14_PAT,24.5,,,Digital Wallet,In-store,2022-11-30,Desconocido,2022,11,2022-11,In-store,,Original,Inferido: categoría + precio único,Importe/cantidad no recuperable
TXN_1770449,CUST_25,Electric household essentials,Item_23_EHE,38.0,,,Digital Wallet,In-store,2024-02-01,No,2024,2,2024-02,In-store,,Original,Inferido: categoría + precio único,Importe/cantidad no recuperable
TXN_5047909,CUST_03,Milk Products,Item_22_MILK,36.5,,,Digital Wallet,Online,2023-09-20,Sí,2023,9,2023-09,Online,,Original,Inferido: categoría + precio único,Importe/cantidad no recuperable
TXN_6522613,CUST_19,Computers and electric accessories,Item_12_CEA,21.5,,,Digital Wallet,Online,2023-04-13,Sí,2023,4,2023-04,Online,,Original,Inferido: categoría + precio único,Importe/cantidad no recuperable
TXN_9506859,CUST_13,Computers and electric accessories,Item_16_CEA,27.5,,,Cash,In-store,2022-10-28,No,2022,10,2022-10,In-store,,Original,Inferido: categoría + precio único,Importe/cantidad no recuperable
TXN_4801214,CUST_06,Food,Item_22_FOOD,36.5,,,Cash,Online,2024-10-17,Sí,2024,10,2024-10,Online,,Original,Inferido: categoría + precio único,Importe/cantidad no recuperable
TXN_4144500,CUST_05,Beverages,Item_17_BEV,29.0,,,Cash,In-store,2024-06-26,Desconocido,2024,6,2024-06,In-store,,Original,Inferido: categoría + precio único,Importe/cantidad no recuperable
TXN_5431879,CUST_10,Electric household essentials,Item_23_EHE,38.0,,,Credit Card,Online,2024-02-14,Desconocido,2024,2,2024-02,Online,,Original,Inferido: categoría + precio único,Importe/cantidad no recuperable
TXN_8464397,CUST_09,Food,Item_14_FOOD,24.5,,,Credit Card,In-store,2022-05-18,Sí,2022,5,2022-05,In-store,,Original,Inferido: categoría + precio único,Importe/cantidad no recuperable
TXN_8757042,CUST_17,Butchers,Item_22_BUT,36.5,,,Credit Card,Online,2022-11-30,No,2022,11,2022-11,Online,,Original,Inferido: categoría + precio único,Importe/cantidad no recuperable
TXN_8589807,CUST_21,Patisserie,Item_2_PAT,6.5,,,Digital Wallet,Online,2022-09-09,Desconocido,2022,9,2022-09,Online,,Original,Inferido: categoría + precio único,Importe/cantidad no recuperable
TXN_7675282,CUST_22,Electric household essentials,Item_15_EHE,26.0,,,Digital Wallet,In-store,2024-03-05,Desconocido,2024,3,2024-03,In-store,,Original,Inferido: categoría + precio único,Importe/cantidad no recuperable
TXN_4375011,CUST_19,Butchers,Item_4_BUT,9.5,,,Credit Card,In-store,2022-01-16,Desconocido,2022,1,2022-01,In-store,,Original,Inferido: categoría + precio único,Importe/cantidad no recuperable
TXN_5012129,CUST_13,Electric household essentials,Item_6_EHE,12.5,,,Cash,Online,2024-12-04,Desconocido,2024,12,2024-12,Online,,Original,Inferido: categoría + precio único,Importe/cantidad no recuperable
TXN_8416846,CUST_15,Beverages,Item_16_BEV,27.5,,,Cash,Online,2024-05-28,No,2024,5,2024-05,Online,,Original,Inferido: categoría + precio único,Importe/cantidad no recuperable
TXN_9676576,CUST_25,Furniture,Item_11_FUR,20.0,,,Digital Wallet,In-store,2023-06-27,Desconocido,2023,6,2023-06,In-store,,Original,Inferido: categoría + precio único,Importe/cantidad no recuperable
TXN_1649045,CUST_21,Computers and electric accessories,Item_12_CEA,21.5,,,Credit Card,Online,2023-01-18,Desconocido,2023,1,2023-01,Online,,Original,Inferido: categoría + precio único,Importe/cantidad no recuperable
TXN_1551058,CUST_14,Food,Item_20_FOOD,33.5,,,Cash,Online,2022-03-16,No,2022,3,2022-03,Online,,Original,Inferido: categoría + precio único,Importe/cantidad no recuperable
TXN_4118493,CUST_24,Patisserie,Item_24_PAT,39.5,,,Credit Card,In-store,2022-07-14,No,2022,7,2022-07,In-store,,Original,Inferido: categoría + precio único,Importe/cantidad no recuperable
TXN_6493139,CUST_06,Butchers,Item_25_BUT,41.0,,,Credit Card,In-store,2024-08-22,No,2024,8,2024-08,In-store,,Original,Inferido: categoría + precio único,Importe/cantidad no recuperable
TXN_3811015,CUST_24,Patisserie,Item_20_PAT,33.5,,,Cash,Online,2022-02-04,No,2022,2,2022-02,Online,,Original,Inferido: categoría + precio único,Importe/cantidad no recuperable
TXN_8737677,CUST_24,Butchers,Item_18_BUT,30.5,,,Cash,In-store,2024-12-06,No,2024,12,2024-12,In-store,,Original,Inferido: categoría + precio único,Importe/cantidad no recuperable
TXN_1153995,CUST_03,Electric household essentials,Item_13_EHE,23.0,,,Credit Card,In-store,2022-02-12,No,2022,2,2022-02,In-store,,Original,Inferido: categoría + precio único,Importe/cantidad no recuperable
TXN_1005543,CUST_19,Food,Item_18_FOOD,30.5,,,Cash,In-store,2022-12-03,Sí,2022,12,2022-12,In-store,,Original,Inferido: categoría + precio único,Importe/cantidad no recuperable
TXN_6186202,CUST_14,Patisserie,Item_10_PAT,18.5,,,Digital Wallet,In-store,2023-02-25,Desconocido,2023,2,2023-02,In-store,,Original,Inferido: categoría + precio único,Importe/cantidad no recuperable
TXN_4005159,CUST_23,Butchers,Item_19_BUT,32.0,,,Cash,In-store,2023-07-09,Desconocido,2023,7,2023-07,In-store,,Original,Inferido: categoría + precio único,Importe/cantidad no recuperable
TXN_6434080,CUST_01,Butchers,Item_25_BUT,41.0,,,Cash,Online,2022-06-02,No,2022,6,2022-06,Online,,Original,Inferido: categoría + precio único,Importe/cantidad no recuperable
TXN_3161464,CUST_02,Butchers,Item_12_BUT,21.5,,,Credit Card,In-store,2022-06-02,Sí,2022,6,2022-06,In-store,,Original,Inferido: categoría + precio único,Importe/cantidad no recuperable
TXN_9963254,CUST_08,Furniture,Item_16_FUR,27.5,,,Credit Card,In-store,2024-11-14,Sí,2024,11,2024-11,In-store,,Original,Inferido: categoría + precio único,Importe/cantidad no recuperable
TXN_7917265,CUST_18,Milk Products,Item_1_MILK,5.0,,,Cash,In-store,2024-02-18,Desconocido,2024,2,2024-02,In-store,,Original,Inferido: categoría + precio único,Importe/cantidad no recuperable
TXN_7726623,CUST_11,Beverages,Item_6_BEV,12.5,,,Credit Card,In-store,2024-12-16,Desconocido,2024,12,2024-12,In-store,,Original,Inferido: categoría + precio único,Importe/cantidad no recuperable
TXN_1130015,CUST_23,Milk Products,Item_4_MILK,9.5,,,Cash,In-store,2024-03-27,No,2024,3,2024-03,In-store,,Original,Inferido: categoría + precio único,Importe/cantidad no recuperable
TXN_7583557,CUST_14,Milk Products,Item_4_MILK,9.5,,,Cash,Online,2024-01-04,Desconocido,2024,1,2024-01,Online,,Original,Inferido: categoría + precio único,Importe/cantidad no recuperable
TXN_2500072,CUST_23,Food,Item_25_FOOD,41.0,,,Cash,Online,2023-02-24,Desconocido,2023,2,2023-02,Online,,Original,Inferido: categoría + precio único,Importe/cantidad no recuperable
TXN_6917746,CUST_05,Computers and electric accessories,Item_11_CEA,20.0,,,Cash,Online,2022-09-17,Desconocido,2022,9,2022-09,Online,,Original,Inferido: categoría + precio único,Importe/cantidad no recuperable
